Element	English	Norwegian Nynorsk
Californium	Californium is used as a portable neutron source for discovery of metals such as gold or silver by on-the-spot activation analysis.<br><br>Neutrons from californium are employed as a treatment of certain cervical and brain cancers where other radiation therapy is ineffective.<br><br>Neutron moisture gauges use californium-252 to find water and petroleum layers in oil wells.	Californium vert nytta som ei bærbar nøytronkjelde for oppdaging av metall som gull eller sølv ved aktiveringsanalyse på staden.<br><br>Nøytronar frå californium vert nytta som behandling av visse livmorhals- og hjernekrefttypar der anna stråleterapi er ineffektiv.<br><br>Nøytronfuktigheitsmålarar nyttar californium-252 for å finne vatn- og petroleumslag i oljebrønnar.
Einsteinium	Einsteinium is mainly used for scientific research purposes.<br><br>The rare isotope einsteinium-254 is favored for production of ultraheavy elements.<br><br>Einsteinium-254 was used as the calibration marker in the chemical analysis spectrometer of the Surveyor 5 lunar probe.	Einsteinium vert hovudsakleg nytta til vitskapeleg forskingsføremål.<br><br>Den sjeldne isotopen einsteinium-254 er favorisert for produksjon av ultratunge grunnstoff.<br><br>Einsteinium-254 vart nytta som kalibreringsmarkøren i det kjemiske analysspektrometeret til Surveyor 5-månesondes.
Fermium	Fermium is used for scientific research purposes only.	Fermium vert berre nytta til vitskapeleg forskingsføremål.
Mendelevium	Mendelevium is used for scientific research purposes only.	Mendelevium vert berre nytta til vitskapeleg forskingsføremål.
Nobelium	Nobelium is used for scientific research purposes only.	Nobelium vert berre nytta til vitskapeleg forskingsføremål.
Lawrencium	Lawrencium is used for scientific research purposes only.	Lawrencium vert berre nytta til vitskapeleg forskingsføremål.
Rutherfordium	Rutherfordium is used for scientific research purposes only.	Rutherfordium vert berre nytta til vitskapeleg forskingsføremål.
Dubnium	Dubnium is used for scientific research purposes only.	Dubnium vert berre nytta til vitskapeleg forskingsføremål.
Seaborgium	Seaborgium is used for scientific research purposes only.	Seaborgium vert berre nytta til vitskapeleg forskingsføremål.
Bohrium	Bohrium is used for scientific research purposes only.	Bohrium vert berre nytta til vitskapeleg forskingsføremål.
Hassium	Hassium is used for scientific research purposes only.	Hassium vert berre nytta til vitskapeleg forskingsføremål.
Meitnerium	Meitnerium is used for scientific research purposes only.	Meitnerium vert berre nytta til vitskapeleg forskingsføremål.
Darmstadtium	Darmstadtium is used for scientific research purposes only.	Darmstadtium vert berre nytta til vitskapeleg forskingsføremål.
Roentgenium	Roentgenium is used for scientific research purposes only.	Roentgenium vert berre nytta til vitskapeleg forskingsføremål.
Copernicium	Copernicium is used for scientific research purposes only.	Copernicium vert berre nytta til vitskapeleg forskingsføremål.
Nihonium	Nihonium is used for scientific research purposes only.	Nihonium vert berre nytta til vitskapeleg forskingsføremål.
Flerovium	Flerovium is used for scientific research purposes only.	Flerovium vert berre nytta til vitskapeleg forskingsføremål.
Moscovium	Moscovium is used for scientific research purposes only.	Moscovium vert berre nytta til vitskapeleg forskingsføremål.
Livermorium	Livermorium is used for scientific research purposes only.	Livermorium vert berre nytta til vitskapeleg forskingsføremål.
Tennessine	Tennessine is used for scientific research purposes only.	Tennessine vert berre nytta til vitskapeleg forskingsføremål.
Oganesson	Oganesson is used for scientific research purposes only.	Oganesson vert berre nytta til vitskapeleg forskingsføremål.
		
Hydrogen	Hydrogen is the primary component of Jupiter and the other gas giant planets	Hydrogen er den primære komponenten i Jupiter og dei andre gasgigantane
Helium	Unlike any other element, helium will remain liquid down to absolute zero at normal pressures	I motsetnad til alle andre grunnstoff vil helium forbli flytande ned til det absolutte nullpunktet ved normalt trykk
Lithium	Lithium is the only metal which reacts with nitrogen under normal conditions	Litium er det einaste metallet som reagerer med nitrogen under normale tilhøve
Beryllium	Emerald is a naturally occurring compound of beryllium	Smaragd er ei naturleg førekommande sambinding av beryllium
Boron	Boron is an essential nutrient for all green plants	Bor er eit essensielt næringsstoff for alle grøne plantar
Carbon	About 20% of the weight of living organisms is carbon	Om lag 20 % av vekta til levande organismar er karbon
Nitrogen	Nitrogen is present in all living organisms, in proteins, nucleic acids and other molecules	Nitrogen er til stades i alle levande organismar, i protein, nukleinsyrer og andre molekyl
Oxygen	Green and red colors in the Aurora Borealis are caused by oxygen atoms	Grøne og raude fargar i nordlyset er forårsaka av oksygenatomar
Fluorine	Fluorine reacts violently with water to produce oxygen	Fluor reagerer valdsamt med vatn og dannar oksygen
Neon	In a vacuum discharge tube, neon glows reddish orange	I eit vakuum-utladingsrøyr lyser neon raudoransje
Sodium	Sodium burns in air with a brilliant yellow flame	Natrium brenn i luft med ei strålande gul flamme
Magnesium	When it burns in air, magnesium produces a brilliant white light	Når det brenn i luft, produserer magnesium eit strålande kvitt lys
Aluminium	Aluminum does not stick to magnets under normal conditions	Aluminium festar seg ikkje til magnestar under normale tilhøve
Silicon	Silicon also has the unusual property that it expands as it freezes	Silisium har òg den uvanleg eigenskapen at det utvider seg når det fryser
Phosphorus	Elemental phosphorus exists in two major forms - white phosphorus and red phosphorus	Elementært fosfor finnst i to hovudformer - kvitt fosfor og raudt fosfor
Sulfur	Penicillin is a natural, sulfur-based antibiotic	Penicillin er eit naturleg, svovelbasert antibiotikum
Chlorine	Tree frogs have a chlorine compound in their skin that is a very powerful pain killer	Trefroskane har ei klorforbinding i huda si som er eit svært kraftig smertestillande middel
Argon	Argon makes a distinctive blue-green gas laser	Argon lagar ein karakteristisk blågrøn gasslaser
Potassium	People whose diets are low in potassium can suffer from hypokalemia	Folk som et lite kalium kan lide av hypokalemi
Calcium	The shell of an egg is made up of primarily calcium carbonate	Skalet på eit egg er i hovudsak laga av kalsiumkarbonat
Scandium	The stable form of scandium is created in supernovas via the r-process	Den stabile forma av skandium vert skapt i supernovaer via r-prosessen
Titanium	Titanium is one of the few elements that burns in pure nitrogen gas	Titan er eit av dei få grunnstoffa som brenn i reint nitrogengass
Vanadium	Vanadium is mined mostly in South Africa, north-western China, and eastern Russia	Vanadium vert gruvedrive hovudsakleg i Sør-Afrika, nordvest-Kina og aust-Russland
Chromium	Chromium oxide was used by the Chinese in the Qin dynasty over 2,000 years ago	Kromoksid vart nytta av kinesarane i Qin-dynastiet for over 2 000 år sidan
Manganese	Neanderthals may have used black manganese di oxide as a cosmetic 50,000 years ago	Neandertalarane kan ha nytta svart manganddioksid som eit kosmetisk middel for 50 000 år sidan
Iron	The color of blood is due to the hemoglobin, an iron-containing protein	Fargen på blod kjem av hemoglobin, eit jernhaldig protein
Cobalt	Supplemental cobalt is essential in sheep's diets to improve the wools quality	Tilskot av kobolt er naudsynt i kosthaldet til sauer for å betre ulkvaliteten
Nickel	Nickel is 100 times more concentrated below Earth's crust than in it	Nikkel er 100 gonger meir konsentrert under jordskorpa enn i ho
Copper	Pure copper is orange-red and acquires a reddish tarnish when exposed to air	Reint koppar er oransje-raudt og får ein raudleg patina når det vert utsett for luft
Zinc	Zinc is referred to in nonscientific contexts as spelter	Sink vert omtala i ikkje-vitskaplege samanhengar som spelter
Gallium	Gallium has a strong tendency to supercool below its melting point / freezing point	Gallium har ein sterk tendens til å underkjølast under smelte-/frysepunktet sitt
Germanium	Germanium and the oxide are transparent to infrared radiation	Germanium og oksidet er gjennomsiktige for infraraud stråling
Arsenic	Prawns are known to contain quite high levels of arsenic	Reker er kjend for å innehalde ganske høge nivå av arsen
Selenium	Selenium deficiency in animals can lead to slow growth	Selenomangel hos dyr kan føre til seint vekst
Bromine	Bromine is the only nonmetallic element that is liquid at ordinary temperatures	Brom er det einaste ikkje-metalliske grunnstoffet som er flytande ved vanlege temperaturar
Krypton	When ionized, krypton gas emits bright white light	Når det vert ionisert, sender kryptongass ut sterkt kvitt lys
Rubidium	Rubidium burns with a reddish-violet flame color	Rubidium brenn med ei raudleg-fiolett flamjefarge
Strontium	Strontium metal turns yellow when exposed to air	Strontiummetall vert gult når det vert utsett for luft
Yttrium	Finely divided yttrium is very unstable in air	Fint delt yttrium er svært ustabilt i luft
Zirconium	The most common oxide is zirconium dioxide, also referred to as zirconia	Det vanlegaste oksidet er zirkoniumdioksid, også omtala som zirkonia
Niobium	Brazil is the leading producer of niobium	Brasil er den leiande produsenten av niobium
Molybdenum	Molybdenum is essential for plant foliage health	Molybden er essensielt for helsa til plantblad
Technetium	Technetium was the first element to be produced artificially	Technetium var det fyrste grunnstoffet som vart framstilt kunstig
Ruthenium	Ruthenium is unaffected by air, water and acids	Ruthenium vert ikkje påverka av luft, vatn og syrer
Rhodium	Rhodium metal does not normally form an oxide, even when heated	Rhodiummetall dannar normalt ikkje eit oksid, sjølv når det vert varma opp
Palladium	In the late 1800s, palladium was more expensive than platinum	På slutten av 1800-talet var palladium dyrare enn platina
Silver	In ancient Egypt and Medieval Europe, silver was often more valuable than gold	I det gamle Egypt og mellomalderens Europa var sølv ofte meir verdfullt enn gull
Cadmium	Cadmium is a soft metal which is easily cut with a knife	Kadmium er eit mjukt metall som lett kan skjerast med ein kniv
Indium	When it is bent, indium emits a high-pitched 'cry'	Når det vert bøygd, avgjev indium eit høgfrekvent 'skrik'
Tin	When a bar of tin is bent, a crackling sound known as the tin cry can be heard	Når ei tintstong vert bøygd, kan ein høyre eit knirkande lydar kjent som tinnskriket
Antimony	Antimony is a poor conductor of heat and electricity	Antimon er ein dårleg leiar av varme og elektrisitet
Tellurium	In air, tellurium burns with a greenish-blue flames, forming the dioxide	I luft brenn tellur med grønblå flammer og dannar dioksidet
Iodine	Kelp was the main source of natural iodine in the 18th and 19th centuries	Tang var den viktigaste kjelda til naturleg jod på 1700- og 1800-talet
Xenon	If inhaled, xenon can cause a person's voice to deepen	Dersom det vert pusta inn, kan xenon få stemma til ein person til å djupnast
Caesium	Cesium was the first element discovered using a spectroscope	Cesium var det fyrste grunnstoffet som vart oppdaga med eit spektroskop
Barium	At low doses, barium acts as a muscle stimulant	I låge dosar verkar barium som eit muskelstimulerande middel
Lanthanum	Lanthanum is the most reactive of the rare earth metals	Lantan er det mest reaktive av dei sjeldan-jord-metalla
Cerium	Seawater contains 1.5 parts per trillion of cerium	Havvatn inneheld 1,5 delar per billion av cerium
Praseodymium	Praseodymium is usually stored under a light mineral oil or sealed in glass	Praseodym vert vanlegvis lagra under eit lett mineraloljar eller forsegla i glas
Neodymium	Most of the world's neodymium is mined in China	Det meste av verdas neodym vert gruvedrive i Kina
Promethium	Promethium is the only lanthanide that has no stable isotopes	Promethium er det einaste lantanidet som ikkje har stabile isotopane
Samarium	Samarium metal can be produced by reducing the oxide with lanthanum	Samarium-metall kan framstillast ved å redusere oksidet med lantan
Europium	Europium is the most reactive rare earth element	Europium er det mest reaktive sjeldan-jord-grunnstoffet
Gadolinium	Gadolinium has the highest neutron cross-section among any stable nuclides	Gadolinium har det høgaste nøytrontverrsnittet blant alle stabile nuklider
Terbium	Terbium is soft enough to be cut with a knife	Terbium er mjukt nok til å skjerast med ein kniv
Dysprosium	Naturally occurring dysprosium is composed of 7 isotopes	Naturleg førekommande dysprosium er samansett av 7 isotopane
Holmium	Holmium has the highest magnetic strength of any naturally occurring element	Holmium har den høgaste magnetiske styrken av alle naturleg førekommande grunnstoff
Erbium	The highest concentration of erbium in humans is in the bones	Den høgaste konsentrasjonen av erbium hos menneske er i beina
Thulium	Thulium ore occurs most commonly in China	Thuliummalm finst oftast i Kina
Ytterbium	Ytterbium is recovered commercially from monazite sand	Ytterbium vert kommersielt utvunne frå monazittsand
Lutetium	Lutetium was the last natural rare earth element to be discovered	Lutetium var det siste naturlege sjeldan-jord-grunnstoffet som vart oppdaga
Hafnium	In powdered form, hafnium is pyrophoric and can ignite spontaneously in air	I pulverform er hafnium pyrofort og kan sjølvantenna i luft
Tantalum	Tantalum occurs principally in the mineral columbite-tantalite	Tantal førekjem hovudsakleg i mineralet kolumbitt-tantalitt
Tungsten	The chemical symbol, W, comes from the original name of the element, Wolfram	Det kjemiske symbolet W kjem frå det opphavlege namnet på grunnstoffet, Wolfram
Rhenium	Chile has the world's largest rhenium reserves	Chile har dei største rheniumreservane i verda
Osmium	Osmium is the least abundant stable element in the Earth's crust	Osmium er det minst rikelege stabile grunnstoffet i jordskorpa
Iridium	Iridium is the most corrosion-resistant metal known	Iridium er det mest korrosjonsbestandige metallet som er kjent
Platinum	Platinum exists in higher abundances on the Moon and in meteorites	Platina finst i høgare mengder på Månen og i meteorittane
Gold	India is the world's largest single consumer of gold	India er den største enkle forbrukaren av gull i verda
Mercury	Mercury is the only metal that is liquid at room temperature	Kvikksølv er det einaste metallet som er flytande ved romtemperatur
Thallium	Agatha Christie made use of thallium's toxicity in her novel The Pale Horse	Agatha Christie nytta toksisiteten til thallium i romanen sin Blegpallen
Lead	Pencil leads in wooden pencils have never been made from lead	Blyantstiftar i treplyantar har aldri vorte laga av bly
Bismuth	Bismuth has unusually high electrical resistance for a metal	Vismut har uvanleg høg elektrisk motstand for eit metall
Polonium	Polonium is obtained by irradiating bismuth with high-energy neutrons or protons	Polonium vert oppnådd ved å bestråle vismut med høgenerginøytronar eller proton
Astatine	Astatine is preferentially concentrated in the thyroid gland	Astat vert preferert konsentrert i skjoldbruskkjertelen
Radon	Upon condensation, radon glows because of the intense radiation it produces	Ved kondensasjon lyser radon på grunn av den intense strålingen det produserer
Francium	Francium was the last element discovered in nature, rather than by synthesis	Francium var det siste grunnstoffet som vart oppdaga i naturen, heller enn ved syntese
Radium	Radium imparts a carmine red color to a flame	Radium gjev ei karminraud farge til ei flamme
Actinium	Actinium glows in the dark with a pale blue light	Aktinium lyser i mørket med eit bleikt blått lys
Thorium	Thorium fuel research is continuing in several countries including the USA and India	Forsking på thoriumdrivstoff held fram i fleire land, inkludert USA og India
Protactinium	Protactinium is one of the rarest and most expensive naturally occurring elements	Protaktinium er eit av dei sjeldnaste og dyraste naturleg førekommande grunnstoffa
Uranium	Uranium-235 was the first isotope that was found to be fissile	Uran-235 var den fyrste isotopen som vart funnen å vera fissil
Neptunium	Neptunium is obtained as a by-product from nuclear reactors	Neptunium vert oppnådd som eit biprodukt frå kjernereaktorar
Plutonium	The atomic bomb dropped on Nagasaki, Japan in 1945 had a plutonium core	Atombomba som vart sleppt over Nagasaki i Japan i 1945 hadde eit plutoniumkjerne
Americium	Americium often enters landfills from discarded smoke detectors	Americium hamnar ofte på deponi frå kasserte røykdetektorar
Curium	Curium accumulates in the bones, lungs and liver, where it promotes cancer	Curium hoper seg opp i bein, lunger og lever, der det fremjar kreft
Berkelium	Just over one gram of berkelium has been produced in the United States since 1967	Litt over eit gram av berkelium har vorte framstilt i USA sidan 1967
Californium	Californium is produced in nuclear reactors and particle accelerators	Californium vert framstilt i kjernereaktorar og partikkelakseleratorar
Einsteinium	Einsteinium is the first divalent metal in the actinide series	Einsteinium er det fyrste divalente metallet i aktinidserien
Fermium	Sixteen isotopes of fermium are known to exist	Seksten isotopane av fermium er kjende å eksistere
Mendelevium	Mendelevium was the first element to be produced one atom at a time	Mendelevium var det fyrste grunnstoffet som vart framstilt eitt atom om gongen
Nobelium	Nobelium is a divalent ion in aqueous solution	Nobelium er eit divalent ion i vassig løysing
Lawrencium	Lawrencium is a trivalent ion in aqueous solution	Lawrencium er eit trivalent ion i vassig løysing
Rutherfordium	Rutherfordium is the first transactinide element	Rutherfordium er det fyrste transaktinidet
Dubnium	The Berkeley team proposed the name hahnium for the element	Berkeley-laget foreslo namnet hahnium for grunnstoffet
Seaborgium	There are 12 known isotopes of seaborgium	Det er 12 kjende isotopane av seaborgium
Bohrium	The only confirmed example of isomerism in bohrium is in the isotope <sup>262</sup>Bh	Det einaste stadfesta eksemplet på isomeri i bohrium er i isotopen <sup>262</sup>Bh
Hassium	More than 100 atoms of hassium have been synthesized to date	Meir enn 100 atom av hassium har vorte syntetiserte til dags dato
Meitnerium	Meitnerium has 7 isotopes whose half-lives are known	Meitnerium har 7 isotopane der halveringstidene er kjende
Darmstadtium	Darmstadtium has no stable or naturally-occurring isotopes	Darmstadtium har ingen stabile eller naturleg førekommande isotopane
Roentgenium	Roentgenium has no stable or naturally-occurring isotopes	Roentgenium har ingen stabile eller naturleg førekommande isotopane
Copernicium	Copernicium has no stable or naturally-occurring isotopes	Copernicium har ingen stabile eller naturleg førekommande isotopane
Nihonium	Nihonium is historically known as eka-thallium	Nihonium er historisk kjent som eka-thallium
Flerovium	The longest-lived isotope currently known is <sup>289</sup>Fl	Den lengst levande isotopen som er kjend for tida er <sup>289</sup>Fl
Moscovium	Moscovium is historically known as eka-bismuth	Moscovium er historisk kjent som eka-vismut
Livermorium	Livermorium is historically known as eka-polonium	Livermorium er historisk kjent som eka-polonium
Tennessine	Tennessine is historically known as eka-astatine	Tennessine er historisk kjent som eka-astat
Oganesson	Oganesson is historically known as eka-radon	Oganesson er historisk kjent som eka-radon
		
Hydrogen	Hydrogen poses a number of hazards to safety, from fires when mixed with air to being an asphyxiant in its pure form	Hydrogen utgjer ei rekkje farar for tryggleiken, frå brannar når det vert blanda med luft til å vera eit kvelingstoff i rein form
Helium	Helium is not known to be toxic	Helium er ikkje kjend for å vera giftig
Lithium	Lithium is corrosive and requires special handling to avoid skin contact	Litium er etsande og krev særskild handsaming for å unngå hudkontakt
Beryllium	Beryllium and its salts are toxic and should be handled with the greatest of care	Beryllium og salta er giftige og bør handsamast med største varsemd
Boron	Elemental boron, boron oxide, boric acid, borates and many organoboron compounds are non-toxic	Elementært bor, boroksid, borsyre, boratar og mange organoboronforbindelsar er ikkje giftige
Carbon	Pure carbon has extremely low toxicity to humans and can be handled safely in the form of graphite or charcoal	Reint karbon har ekstremt låg toksisitet for menneske og kan handsamast trygt i form av grafitt eller trekol
Nitrogen	Rapid release of nitrogen gas into an enclosed space can displace oxygen, and therefore represents an asphyxiation hazard	Rask frigjering av nitrogengass i eit lukka rom kan fortrenga oksygen og representerer derfor ein kvelingsfare
Oxygen	Oxygen gas can be toxic at elevated partial pressures, leading to convulsions and other health problems	Oksygengass kan vera giftig ved forhøgd partialtrykk og føre til krampar og andre helseproblem
Fluorine	Fluorine is highly toxic and corrosive	Fluor er svært giftig og etsande
Neon	Neon is not known to be toxic	Neon er ikkje kjend for å vera giftig
Sodium	Sodium metal should be handled with great care as it cannot be maintained in an inert atmosphere	Natriummetall bør handsamast med stor varsemd då det ikkje kan haldast i ei inert atmosfære
Magnesium	Because serious fires can occur, great care should be taken in handling magnesium metal	Fordi det kan oppstå alvorlege brannar, bør det takast stor varsemd ved handsaming av magnesiummetall
Aluminium	Aluminum is not known to be toxic	Aluminium er ikkje kjend for å vera giftig
Silicon	If breathed in as a fine silica/silicate dust, it may cause chronic respiratory problems	Dersom det vert pustra inn som fint silika-/silikatstøv, kan det forårsake kroniske luftvegsproblem
Phosphorus	White phosphorus is highly toxic while red phosphorus is considered non-toxic	Kvitt fosfor er svært giftig medan raudt fosfor vert rekna som ikkje-giftig
Sulfur	Elemental sulfur is considered to be of low toxicity	Elementært svovel er rekna for å ha låg toksisitet
Chlorine	Elemental chlorine at high concentrations is extremely dangerous and poisonous	Elementært klor i høge konsentrasjonar er ekstremt farleg og giftig
Argon	Argon is considered to be non-toxic	Argon er rekna for å vera ikkje-giftig
Potassium	Potassium must be handled with great care with full skin and eye protection	Kalium må handsamast med stor varsemd med full hud- og augevern
Calcium	Calcium is considered to be non-toxic	Kalsium er rekna for å vera ikkje-giftig
Scandium	Scandium is considered to be of low toxicity	Skandium er rekna for å ha låg toksisitet
Titanium	Titanium metal is considered to be non-toxic	Titanmetall er rekna for å vera ikkje-giftig
Vanadium	All vanadium compounds should be considered toxic	Alle vanadiumforbindelsar bør reknast som giftige
Chromium	In larger amounts, chromium can be toxic and carcinogenic	I større mengder kan krom vera giftig og kreftframkallande
Manganese	Excess manganese, particularly inhalation of the powder, is toxic	Overskot av mangan, særleg innånding av pulveret, er giftig
Iron	Iron is considered to be non-toxic	Jern er rekna for å vera ikkje-giftig
Cobalt	Cobalt and its compounds are considered to be slightly toxic	Kobolt og sambindingane er rekna for å vera litt giftige
Nickel	Nickel and its compounds are considered to be carcinogenic	Nikkel og sambindingane er rekna for å vera kreftframkallande
Copper	Cooking acidic food in copper pots can cause toxicity	Å koke sur mat i kopargryter kan forårsake forgifting
Zinc	Zinc is not considered to be particularly toxic	Sink er ikkje rekna for å vera særleg giftig
Gallium	Gallium is considered to be non-toxic	Gallium er rekna for å vera ikkje-giftig
Germanium	Germanium is not known to be toxic	Germanium er ikkje kjend for å vera giftig
Arsenic	Arsenic and its compounds are poisonous	Arsen og sambindingane er giftige
Selenium	Many of selenium's compounds, such as selenates and selenites, are highly toxic	Mange av selena sine sambindingar, som selenatar og selenittar, er svært giftige
Bromine	Bromine is poisonous and causes skin burns	Brom er giftig og fører til hudforbrenningar
Krypton	Krypton is considered to be non-toxic	Krypton er rekna for å vera ikkje-giftig
Rubidium	Rubidium is not known to be toxic	Rubidium er ikkje kjend for å vera giftig
Strontium	Strontium's non-radioactive isotopes are considered non-toxic	Dei ikkje-radioaktive isotopane av strontium vert rekna som ikkje-giftige
Yttrium	Exposure to yttrium compounds in humans may cause lung disease	Eksponering for yttriumforbindelsar hos menneske kan forårsake lungesjukdom
Zirconium	Zirconium is considered to be non-toxic	Zirkonium er rekna for å vera ikkje-giftig
Niobium	Some niobium compounds are highly toxic	Nokre niobiumforbindelsar er svært giftige
Molybdenum	Molybdenum is toxic in all but small quantities	Molybden er giftig i alle mengder unntatt små
Technetium	Technetium is harmful due to its radioactivity	Technetium er skadeleg på grunn av radioaktiviteten sin
Ruthenium	Ruthenium is a suspected carcinogen and its compounds strongly stain the skin	Ruthenium er mistenkt kreftframkallande og sambindingane fargar huda sterkt
Rhodium	Rhodium is considered to be non-toxic	Rhodium er rekna for å vera ikkje-giftig
Palladium	Palladium is considered to be of low toxicity	Palladium er rekna for å ha låg toksisitet
Silver	Silver is considered to be non-toxic	Sølv er rekna for å vera ikkje-giftig
Cadmium	Cadmium and its compounds are highly toxic	Kadmium og sambindingane er svært giftige
Indium	Indium is considered to be of low toxicity	Indium er rekna for å ha låg toksisitet
Tin	Tin is considered to be non-toxic but most tin salts are toxic	Tinn er rekna for å vera ikkje-giftig, men dei fleste tinnsalt er giftige
Antimony	Antimony and many of its compounds are toxic	Antimon og mange av sambindingane er giftige
Tellurium	Tellurium and tellurium compounds are considered to be mildly toxic	Tellur og tellurforbindelsar er rekna for å vera mildt giftige
Iodine	Elemental iodine is toxic if taken orally	Elementært jod er giftig dersom det vert teke oralt
Xenon	Xenon is not toxic, but its compounds are highly toxic	Xenon er ikkje giftig, men sambindingane er svært giftige
Caesium	Cesium compounds are considered to be mildly toxic	Cesiumforbindelsar er rekna for å vera mildt giftige
Barium	Water-soluble barium compounds are poisonous	Vasslauselege bariumforbindelsar er giftige
Lanthanum	Lanthanum and its compounds are considered to be moderately toxic	Lantan og sambindingane er rekna for å vera moderat giftige
Cerium	Cerium is considered to be moderately toxic	Cerium er rekna for å vera moderat giftig
Praseodymium	Praseodymium is considered to be moderately toxic	Praseodym er rekna for å vera moderat giftig
Neodymium	Neodymium is considered to be moderately toxic	Neodym er rekna for å vera moderat giftig
Promethium	Promethium is harmful due to its radioactivity	Promethium er skadeleg på grunn av radioaktiviteten sin
Samarium	Samarium is considered to be moderately toxic	Samarium er rekna for å vera moderat giftig
Europium	Europium is considered to be mildly toxic	Europium er rekna for å vera mildt giftig
Gadolinium	Gadolinium is considered to be moderately toxic	Gadolinium er rekna for å vera moderat giftig
Terbium	Terbium is considered to be moderately toxic	Terbium er rekna for å vera moderat giftig
Dysprosium	Dysprosium is considered to be moderately toxic	Dysprosium er rekna for å vera moderat giftig
Holmium	Holmium is considered to be of low toxicity	Holmium er rekna for å ha låg toksisitet
Erbium	Erbium is considered to be moderately toxic	Erbium er rekna for å vera moderat giftig
Thulium	Thulium is considered to be non-toxic	Thulium er rekna for å vera ikkje-giftig
Ytterbium	Ytterbium is considered to be moderately toxic	Ytterbium er rekna for å vera moderat giftig
Lutetium	Lutetium is considered to be non toxic	Lutetium er rekna for å vera ikkje-giftig
Hafnium	Hafnium is considered to be non-toxic	Hafnium er rekna for å vera ikkje-giftig
Tantalum	Tantalum is considered to be non-toxic	Tantal er rekna for å vera ikkje-giftig
Tungsten	Tungsten is considered to be of low toxicity	Wolfram er rekna for å ha låg toksisitet
Rhenium	Very little is known about the toxicity of rhenium	Svært lite er kjent om toksisiteten til rhenium
Osmium	Even low concentrations in air can cause lung congestion, skin damage, or eye damage	Sjølv låge konsentrasjonar i luft kan forårsake lungetrengsel, hudskade eller augeskade
Iridium	Iridium is considered to be of low toxicity	Iridium er rekna for å ha låg toksisitet
Platinum	Platinum is considered to be non-toxic	Platina er rekna for å vera ikkje-giftig
Gold	Gold is considered to be non-toxic	Gull er rekna for å vera ikkje-giftig
Mercury	Mercury and most of its compounds are highly toxic	Kvikksølv og dei fleste sambindingane er svært giftige
Thallium	Thallium and its compounds are highly toxic	Thallium og sambindingane er svært giftige
Lead	Lead and its compounds are poisonous	Bly og sambindingane er giftige
Bismuth	Bismuth is considered to be non-toxic	Vismut er rekna for å vera ikkje-giftig
Polonium	Polonium is highly dangerous and radioactive	Polonium er svært farleg og radioaktivt
Astatine	Astatine is highly radioactive	Astat er svært radioaktivt
Radon	Radon is highly radioactive and a carcinogen	Radon er svært radioaktivt og kreftframkallande
Francium	Francium is highly radioactive	Francium er svært radioaktivt
Radium	Radium is highly radioactive and carcinogenic	Radium er svært radioaktivt og kreftframkallande
Actinium	Actinium is highly radioactive	Aktinium er svært radioaktivt
Thorium	Thorium is highly radioactive	Thorium er svært radioaktivt
Protactinium	Protactinium is toxic and highly radioactive	Protaktinium er giftig og svært radioaktivt
Uranium	Uranium is toxic and highly radioactive	Uran er giftig og svært radioaktivt
Neptunium	Neptunium is harmful due to its radioactivity	Neptunium er skadeleg på grunn av radioaktiviteten sin
Plutonium	Plutonium is harmful due to its radioactivity	Plutonium er skadeleg på grunn av radioaktiviteten sin
Americium	Americium is harmful due to its radioactivity	Americium er skadeleg på grunn av radioaktiviteten sin
Curium	Curium is harmful due to its radioactivity	Curium er skadeleg på grunn av radioaktiviteten sin
Berkelium	Berkelium is harmful due to its radioactivity	Berkelium er skadeleg på grunn av radioaktiviteten sin
Californium	Californium is harmful due to its radioactivity	Californium er skadeleg på grunn av radioaktiviteten sin
Einsteinium	Einsteinium is harmful due to its radioactivity	Einsteinium er skadeleg på grunn av radioaktiviteten sin
Fermium	Fermium is harmful due to its radioactivity	Fermium er skadeleg på grunn av radioaktiviteten sin
Mendelevium	Mendelevium is harmful due to its radioactivity	Mendelevium er skadeleg på grunn av radioaktiviteten sin
Nobelium	Nobelium is harmful due to its radioactivity	Nobelium er skadeleg på grunn av radioaktiviteten sin
Lawrencium	Lawrencium is harmful due to its radioactivity	Lawrencium er skadeleg på grunn av radioaktiviteten sin
Rutherfordium	Rutherfordium is harmful due to its radioactivity	Rutherfordium er skadeleg på grunn av radioaktiviteten sin
Dubnium	Dubnium is harmful due to its radioactivity	Dubnium er skadeleg på grunn av radioaktiviteten sin
Seaborgium	Seaborgium is harmful due to its radioactivity	Seaborgium er skadeleg på grunn av radioaktiviteten sin
Bohrium	Bohrium is harmful due to its radioactivity	Bohrium er skadeleg på grunn av radioaktiviteten sin
Hassium	Hassium is harmful due to its radioactivity	Hassium er skadeleg på grunn av radioaktiviteten sin
Meitnerium	Meitnerium is harmful due to its radioactivity	Meitnerium er skadeleg på grunn av radioaktiviteten sin
Darmstadtium	Darmstadtium is harmful due to its radioactivity	Darmstadtium er skadeleg på grunn av radioaktiviteten sin
Roentgenium	Roentgenium is harmful due to its radioactivity	Roentgenium er skadeleg på grunn av radioaktiviteten sin
Copernicium	Copernicium is harmful due to its radioactivity	Copernicium er skadeleg på grunn av radioaktiviteten sin
Nihonium	Nihonium is harmful due to its radioactivity	Nihonium er skadeleg på grunn av radioaktiviteten sin
